,_id,count,count_with_activity,ratio
457,Venezuelan Restaurant,175,123.0,70.29
458,Screen Printer,174,47.0,27.01
459,Cheese Shop,173,58.0,33.53
460,Sports Medicine Clinic,173,42.0,24.28
461,Muay Thai Boxing Gym,172,35.0,20.35
462,Pizza Takeout,171,91.0,53.22
463,Psychiatrist,171,1.0,0.58
464,Boat Dealer,170,50.0,29.41
465,West African Restaurant,168,112.0,66.67
466,Christian Book Store,168,48.0,28.57
467,African Restaurant,165,83.0,50.3
468,Computer Software Store,164,,
469,Wheel Alignment Service,164,73.0,44.51
470,Surgeon,163,9.0,5.52
471,Internet Shop,161,3.0,1.86
472,Car Wash,161,113.0,70.19
473,Tea Store,160,30.0,18.75
474,Internet Service Provider,159,,
475,Shopping Center,159,127.0,79.87
476,Motorsports Store,159,56.0,35.22
477,Surgical Supply Store,158,13.0,8.23
478,Charity Shop,157,,
479,Violin Shop,157,,
480,Pho Restaurant,157,97.0,61.78
481,Art Gallery,154,18.0,11.69
482,Live Music Venue,154,39.0,25.32
483,Atm,153,5.0,3.27
484,Ski Shop,152,64.0,42.11
485,Tennis Store,152,20.0,13.16
486,Adult Entertainment Club,151,,
487,Novelty Store,151,19.0,12.58
488,Spice Store,149,42.0,28.19
489,Sleep Clinic,149,20.0,13.42
490,Piano Store,148,,
491,Shoe Repair Shop,148,26.0,17.57
492,Second Hand Store,147,28.0,19.05
493,Home Health Care Service,147,46.0,31.29
494,Outdoor Clothing And Equipment Shop,146,47.0,32.19
495,Alternative Medicine Practitioner,146,31.0,21.23
496,Gold Dealer,146,13.0,8.9
497,Work Clothes Store,146,61.0,41.78
498,Gastroenterologist,144,31.0,21.53
499,Eclectic Restaurant,144,97.0,67.36
500,Emergency Room,144,1.0,0.69
501,Hot Pot Restaurant,144,89.0,61.81
502,Car Accessories Store,144,51.0,35.42
503,Kitchen Remodeler,144,,
504,Orthopedic Shoe Store,143,26.0,18.18
505,Mailbox Rental Service,143,25.0,17.48
506,Honda Dealer,142,138.0,97.18
507,Furniture Repair Shop,142,12.0,8.45
508,Community Center,142,68.0,47.89
509,Herbal Medicine Store,140,25.0,17.86
510,Dental Supply Store,140,11.0,7.86
511,Delivery Service,139,9.0,6.47
512,Sports Complex,139,52.0,37.41
513,Car Service,137,49.0,35.77
514,Nissan Dealer,136,129.0,94.85
515,Dance School,136,33.0,24.26
516,Event Venue,135,37.0,27.41
517,Pain Control Clinic,134,24.0,17.91
518,Popcorn Store,134,33.0,24.63
519,Archery Store,133,51.0,38.35
520,Rehabilitation Center,133,2.0,1.5
521,Woodworking Supply Store,132,72.0,54.55
522,Ecuadorian Restaurant,132,99.0,75.0
523,Surplus Store,131,39.0,29.77
524,Educational Supply Store,131,53.0,40.46
525,European Restaurant,131,78.0,59.54
526,Rock Climbing Gym,130,44.0,33.85
527,Guatemalan Restaurant,130,98.0,75.38
528,Pool Hall,129,21.0,16.28
529,Blinds Shop,129,11.0,8.53
530,Market,126,80.0,63.49
531,Generator Shop,125,20.0,16.0
532,Truck Rental Agency,124,21.0,16.94
533,Wedding Bakery,124,28.0,22.58
534,Irish Restaurant,123,48.0,39.02
535,Truck Stop,122,105.0,86.07
536,Engine Rebuilding Service,121,26.0,21.49
537,Wallpaper Store,121,,
538,Doughnut Shop,120,63.0,52.5
539,Grill Store,119,31.0,26.05
540,Amusement Park,119,65.0,54.62
541,Afghani Restaurant,119,74.0,62.18
542,Wholesaler,119,44.0,36.97
543,X-ray Lab,119,6.0,5.04
544,Portuguese Restaurant,119,94.0,78.99
545,Police Supply Store,118,46.0,38.98
546,Butcher Shop Deli,115,68.0,59.13
547,Chinese Takeaway,114,51.0,44.74
548,Hookah Store,113,27.0,23.89
549,Computer Repair Service,113,23.0,20.35
550,Formal Wear Store,113,21.0,18.58
551,Delivery Restaurant,113,46.0,40.71
552,Used Computer Store,113,10.0,8.85
553,Laser Tag Center,112,48.0,42.86
554,Authentic Japanese Restaurant,110,74.0,67.27
555,Mongolian Barbecue Restaurant,110,82.0,74.55
556,Endocrinologist,110,17.0,15.45
557,Handbags Shop,108,1.0,0.93
558,Oncologist,108,16.0,14.81
559,Shooting Range,108,98.0,90.74
560,Neurologist,108,15.0,13.89
561,Youth Organization,107,,
562,Optometrist,107,52.0,48.6
563,Cabinet Maker,107,,
564,Bedroom Furniture Store,107,18.0,16.82
565,Association Or Organization,106,,
566,Italian Grocery Store,106,76.0,71.7
567,Beer Garden,105,56.0,53.33
568,Billiards Supply Store,105,33.0,31.43
569,Hockey Supply Store,105,41.0,39.05
570,Winery,104,65.0,62.5
571,Needlework Shop,104,10.0,9.62
572,Seafood Market,104,65.0,62.5
573,Do-it-yourself Shop,104,,
574,Sports Nutrition Store,103,9.0,8.74
575,Linens Store,100,14.0,14.0
576,Medical Billing Service,100,6.0,6.0
577,Ophthalmologist,100,45.0,45.0
578,Oyster Bar Restaurant,99,71.0,71.72
579,Medical Equipment Manufacturer,98,2.0,2.04
580,Polish Restaurant,98,64.0,65.31
581,Snack Bar,98,18.0,18.37
582,Flag Store,98,7.0,7.14
583,Organic Shop,98,1.0,1.02
584,Sichuan Restaurant,96,80.0,83.33
585,Pie Shop,96,47.0,48.96
586,Transportation Service,95,11.0,11.58
587,Ear Piercing Service,95,4.0,4.21
588,Mall,95,76.0,80.0
589,Live Music Bar,95,26.0,27.37
590,Plastic Surgeon,95,1.0,1.05
591,Atv Repair Shop,95,20.0,21.05
592,Radiologist,95,27.0,28.42
593,Interior Designer,94,1.0,1.06
594,Miniature Golf Course,94,31.0,32.98
595,Scrapbooking Store,94,8.0,8.51
596,Korean Grocery Store,94,86.0,91.49
597,Rv Dealer,94,54.0,57.45
598,Crêperie,94,54.0,57.45
599,Boot Camp,93,29.0,31.18
600,Jewelry Buyer,93,16.0,17.2
601,Neon Sign Shop,92,,
602,Auto Body Parts Supplier,92,32.0,34.78
603,Trading Card Store,92,39.0,42.39
604,Massage Therapist,92,9.0,9.78
605,Dessert Restaurant,92,41.0,44.57
606,Car Battery Store,91,37.0,40.66
607,Nepalese Restaurant,91,68.0,74.73
608,Farm Shop,91,11.0,12.09
609,Indoor Cycling,91,33.0,36.26
610,Pulmonologist,91,17.0,18.68
611,Trailer Dealer,90,43.0,47.78
612,Jujitsu School,90,43.0,47.78
613,Pan-asian Restaurant,89,69.0,77.53
614,Truck Dealer,89,55.0,61.8
615,Roofing Supply Store,89,42.0,47.19
616,Oxygen Equipment Supplier,88,23.0,26.14
617,Reptile Store,87,55.0,63.22
618,Used Office Furniture Store,86,20.0,23.26
619,Tapas Restaurant,85,60.0,70.59
620,Roller Skating Rink,84,48.0,57.14
621,Mazda Dealer,84,82.0,97.62
622,Costume Jewelry Shop,84,2.0,2.38
623,Denture Care Center,84,48.0,57.14
624,General Contractor,84,,
625,Urologist,83,9.0,10.84
